"$phi [rad]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []"
6.4,642693264542.288,957847595828.797,960349602726.044
6.5,644184354032.24,957510346037.953,961207236447.75
6.6,645675443522.192,957173096247.108,962064870169.455
6.7,648576285336.227,956568904718.963,963851069089.425
6.8,651477127150.262,955964713190.817,965637268009.395
6.9,655597995844.966,955022598891.185,968128815304.525
7,659718864539.67,954080484591.553,970620362599.656
7.1,664779633413.344,952876933584.763,973864585036.194
7.2,670392381200.988,951512412629.259,977395510027.061
7.3,676522001792.386,949967197461.795,981286768957.735
7.4,683137455440.268,948224582467.948,985530026762.863
7.5,690192416744.554,946280398224.586,990097418561.01
7.6,697663071348.325,944129252446.29,994992521105.42
7.7,705543013062.719,941782544889.782,1000273563780.1
7.8,713700807897.116,939179724791.365,1005760875174.6
7.9,722111798767.761,936306207824.65,1011510435862.91
7.99999999999999,730823361588.136,933218643364.604,1017604723626.88
8.09999999999999,739649811895.863,929813496410.566,1023847621494.19
8.19999999999999,748668744981.444,926158067254.347,1030387017158.05
8.29999999999999,757863530827.67,922247459936.408,1037257103349.34
8.39999999999999,767046652407.817,918006873391.512,1044182252077.5
8.49999999999999,776240255727.461,913441364322.666,1051271446891.43
8.59999999999999,785388347020.986,908402391148.712,1058573790878.86
8.69999999999999,794536438314.511,903363417974.757,1065876134866.3
8.79999999999999,803543186563.015,897704299649.614,1073483487100.48
8.89999999999999,812549934811.519,892045181324.47,1081090839334.67
8.99999999999999,821248445895.41,885741334816.968,1088907073156.91
9.09999999999999,829946956979.3,879437488309.466,1096723306979.15
9.19999999999999,838227722630.17,872511154156.342,1104625843227.9
9.29999999999999,846508488281.039,865584820003.218,1112528379476.65
9.39999999999999,854243228767.992,858071579950.036,1120491401019.32
