"$phi [rad]","re(Mode(1)) []","re(Mode(2)) []","re(Mode(3)) []"
6.4,nan,nan,nan
6.5,nan,nan,nan
6.6,nan,nan,nan
6.7,nan,nan,nan
6.8,nan,nan,nan
6.9,nan,nan,nan
7,nan,nan,nan
7.1,146530570430.139,214741225523.341,268456333908.989
7.2,147615749738.279,214166702940.642,268994402972.872
7.3,148700929046.419,213592180357.942,269532472036.755
7.4,149981315022.207,212904806948.62,270286793658.115
7.5,151261700997.995,212217433539.298,271041115279.474
7.6,152735443509.592,211417575087.548,271814931823.516
7.7,154209186021.189,210617716635.797,272588748367.558
7.8,155835889654.296,209702893035.449,273603024799.171
7.9,157462593287.404,208788069435.1,274617301230.784
7.99999999999999,159178067111.883,207688409782.663,275604457884.934
8.09999999999999,160893540936.362,206588750130.226,276591614539.085
8.19999999999999,162694545080.54,205350367120.93,277703181404.469
8.29999999999999,164495549224.719,204111984111.634,278814748269.853
8.39999999999999,166405451688.885,202789618973.81,279967007603.161
8.49999999999999,168315354153.052,201467253835.986,281119266936.47
8.59999999999999,170268482584.792,200032548410.808,282399544973.413
8.69999999999999,172221611016.533,198597842985.63,283679823010.357
8.79999999999999,174180500828.336,197020680599.924,284927687401.009
8.89999999999999,176139390640.14,195443518214.217,286175551791.661
8.99999999999999,178078736458.703,193747798426.32,287402724620.679
9.09999999999999,180018082277.266,192052078638.422,288629897449.698
9.19999999999999,181870326407.431,190207639088.067,289901577175.562
9.29999999999999,183722570537.596,188363199537.711,291173256901.426
9.39999999999999,185373243872.452,186388438973.634,292393825463.917
