"Phase [deg]","$phi [rad]","zk_aveg []"
0,6.4,66.0546301679188
0,6.5,43.9450532660723
0,6.6,21.8354763642258
0,6.7,17.0486688707878
0,6.8,12.2618613773497
0,6.9,10.1881753013701
0,7,8.11448922539063
0,7.1,6.84892156931852
0,7.2,5.89353906761739
0,7.3,5.13723356950184
0,7.4,4.53229196644407
0,7.5,4.03467379157372
0,7.6,3.62234525375068
0,7.7,3.28690316734379
0,7.8,2.98153107836391
0,7.9,2.75930870002686
0,7.99999999999999,2.53984216618785
0,8.09999999999999,2.36008247305831
0,8.19999999999999,2.20464790264856
0,8.29999999999999,2.05941672431034
0,8.39999999999999,1.94326060871715
0,8.49999999999999,1.84034265024077
0,8.59999999999999,1.75459258332238
0,8.69999999999999,1.66884251640398
0,8.79999999999999,1.60132033231089
0,8.89999999999999,1.53379814821781
0,8.99999999999999,1.47232748623853
0,9.09999999999999,1.41085682425924
0,9.19999999999999,1.37916872538068
0,9.29999999999999,1.34748062650212
0,9.39999999999999,1.33684796160022
