$phi [rad],vpc_mode2 [],vpc_mode3 []
9.5,0.300817126,0.460503033
9.6,0.299762631,0.454099174
9.7,0.299299413,0.447468739
9.8,0.298836196,0.440838305
9.9,0.298231415,0.43436446
10,0.297626635,0.427890616
10.1,0.296961688,0.421875715
10.2,0.296296742,0.415860815
10.3,0.295326751,0.409961914
10.4,0.294356761,0.404063012
10.5,0.293500453,0.398426607
10.6,0.292435263,0.393044179
10.7,0.291227221,0.387689396
10.8,0.290031951,0.382504736
10.9,0.288770077,0.377463384
11,0.287549288,0.372599699
11.1,0.28621192,0.367885288
11.2,0.284883279,0.363240725
11.3,0.283328656,0.358835197
11.4,0.281597481,0.3545766
11.5,0.27997182,0.350513865
11.6,0.27828088,0.346475396
11.7,0.276531811,0.342667032
11.8,0.274774068,0.339044949
11.9,0.272850742,0.335518854
12,0.270982086,0.332060006
12.1,0.269152401,0.328820994
12.2,0.267322715,0.325581982
12.3,0.265411812,0.3227635
12.4,0.263500909,0.319945018
12.5,0.261427271,0.317250445
