"Phase [deg]","$phi [rad]","zk_aveg []"
0,9.4,-0.0750974730132103
0,9.5,1.45621271928962
0,9.6,1.41587346287444
0,9.7,1.38098000613793
0,9.8,1.37186151574385
0,9.9,1.35125588629114
0,10,1.33036638040298
0,10.1,1.32968859346138
0,10.2,1.32395172385667
0,10.3,1.32021778414022
0,10.4,1.32146020010671
0,10.5,1.32995395335875
0,10.6,1.3300042862022
0,10.7,1.34943888172177
0,10.8,1.37055180152
0,10.9,1.40329724448468
0,11,1.41912352945592
0,11.1,1.45680387758559
0,11.2,1.50495770785945
0,11.3,1.55286274316637
0,11.4,1.61675485903729
0,11.5,1.70016143472772
0,11.6,1.77875286077996
0,11.7,-1.61627793304427
0,11.8,-5.01130872686874
0,11.9,-8.40633952069322
0,12,-11.8013703145177
0,12.1,-15.1964011083422
0,12.2,-18.5914319021666
0,12.3,-21.9864626959911
0,12.4,-25.3814934898156
0,12.5,-28.7765242836401
0,12.6,-32.1715550774645
